formula,capacity
Li3AlN2,1060.6260441396291
LiScO2,319.494106740829
Li3VO4,592.3443331369083
Li2TiO3,488.4972811203142
Li2TiO3,488.4972811203142
Li1La2O3.5,78.66403203297205
LiMn2O4,148.24441740712066
Li0.3Mn4O8,22.98656726941496
Li2B4O7,317.00042047724173
Li1.8Cu1Sb1,243.93573241387676
Li1.644Cu1.356Sb1,200.91541992269552
Li1.96Cu3.864Sb2,104.52086053086154
Li3.99Mn2.01O6,456.8348140554701
Li3.99Mn2.01O6,456.8348140554701
Li3.99Mn2.01O6,456.8348140554701
Li2Ni0.67N1,797.6145423662181
Li2Ni0.67N1,797.6145423662181
Li5.688Ni2.31N3,702.3498339709853
Li0.61Co1O2,171.824345167248
Li0.56B12.92C2,89.580281569855
Li1.44B56.82C6,55.437642848874404
Ba12Na11.88Li0.12,1.6736787736946954
LiFe5O8,64.72192376361005
LiFe5O8,64.72192376361005
LiFe5O8,64.72192376361005
LiFe5O8,64.72192376361005
LiFe5O8,64.72192376361005
LiFe5O8,64.72192376361005
Li3.999Rh2.001O6,325.1538674980365
Li0.616Ti0.3333O1,455.77221523997656
Li2TiO3,488.4972811203142
Li0.644Ti0.3333O1,473.9470515664236
Li2TiO3,488.4972811203142
Li2TiO3,488.4972811203142
Li12Mo5O17,385.2157008331038
LiMn2O4,148.24441740712066
Li1.1Mn4O8,82.96738580592559
Li0.2Mn4O8,15.354838381176783
Li0.14Mn4O8,10.76122088671568
Li0.865In1.135Au2,43.72692526918782
Li71.463In31.995Au4.542,378.25992433303753
Li2.24In0.88Au0.88,207.1063698928965
Li2.38In1.24Au0.38,272.93793353125284
